settingID, T,D,Tfar,Dfar,Depth,time,trialNumb
1,8,0,False,False,0,0.05,0
1,8,0,False,False,0,0.01,1
6,4,4,True,True,2,0.15,2
1,8,0,False,False,0,0.02,3
1,8,0,False,False,0,0.15,4
2,8,0,True,False,2,0.02,5
1,8,0,False,False,0,0.1,6
3,4,4,False,False,0,0.15,7
2,8,0,True,False,2,0.05,8
2,8,0,True,False,2,0.1,9
1,8,0,False,False,0,0.2,10
2,8,0,True,False,2,0.15,11
2,8,0,True,False,2,0.2,12
4,4,4,True,False,2,0.15,13
5,4,4,False,True,2,0.15,14
2,8,0,True,False,2,0.01,15

